,v1c C9,mitch C9,OXY C9,Xeppaa C9,neT C9
bang SEN,0 1 -1,2 0 +2,1 0 +1,,
zekken SEN,1 0 +1,1 1 +0,0 1 -1,,1 1 +0
johnqt SEN,1 0 +1,,,1 0 +1,
N4RRATE SEN,,,1 1 +0,1 0 +1,0 1 -1
Zellsis SEN,0 2 -2,,1 1 +0,0 1 -1,
