,v1c C9,mitch C9,OXY C9,Xeppaa C9,neT C9
bang SEN,3 4 -1,3 4 -1,4 4 +0,1 0 +1,4 2 +2
zekken SEN,3 1 +2,5 4 +1,4 2 +2,5 5 +0,7 2 +5
johnqt SEN,6 3 +3,2 5 -3,2 2 +0,3 3 +0,4 1 +3
N4RRATE SEN,4 0 +4,2 5 -3,5 5 +0,6 1 +5,1 4 -3
Zellsis SEN,2 2 +0,3 5 -2,3 1 +2,4 2 +2,4 3 +1
