,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
C0M LEV,,2 Round 11 Shyy Mazino Round 12 Mazino Shyy,,,,,,,,,54,2,1
tex LEV,,2 Round 5 keznit Melser Round 8 Mazino Shyy,2 Round 1 Dantedeu5 Melser keznit Round 2 Dantedeu5 Mazino keznit,,,,1 Round 1 keznit Melser,,,,57,0,2
Okeanos LEV,,1 Round 9 Dantedeu5 keznit Okeanos,2 Round 14 Mazino Dantedeu5 Shyy Round 17 Melser Dantedeu5 Shyy,,,,,,,,47,1,0
kiNgg LEV,,4 Round 1 Mazino Shyy Round 3 keznit Dantedeu5 Round 6 Dantedeu5 Melser Round 7 Melser keznit,1 Round 8 Melser Dantedeu5 keznit,,,,,,,,72,0,2
Sato LEV,,2 Round 6 keznit Shyy Round 7 Shyy Dantedeu5,2 Round 13 Dantedeu5 Melser keznit Round 16 Melser Shyy Dantedeu5,2 Round 4 Dantedeu5 Melser Mazino keznit Round 15 Mazino Shyy Melser keznit,,,,,,,77,1,1
Melser KRÜ,,2 Round 1 C0M Okeanos Round 11 kiNgg C0M,,,,,,,,,33,1,0
keznit KRÜ,,3 Round 1 kiNgg Sato Round 6 Okeanos C0M Round 9 kiNgg tex,,,,1 Round 12 C0M,,1 Round 9 kiNgg tex Okeanos,,,37,1,0
Mazino KRÜ,,,,,,,,,,,27,6,0
Shyy KRÜ,,1 Round 3 kiNgg Sato,1 Round 12 kiNgg Sato Okeanos,,,,,,,,50,2,0
Dantedeu5 KRÜ,,2 Round 8 Sato C0M Round 9 Sato C0M,1 Round 16 tex kiNgg C0M,,,,,,,,65,0,0
