,Dantedeu5 KRÜ,Melser KRÜ,Shyy KRÜ,Mazino KRÜ,keznit KRÜ
Sato LEV,5 4 +1,5 0 +5,5 4 +1,2 1 +1,4 1 +3
Okeanos LEV,5 1 +4,3 1 +2,3 2 +1,1 1 +0,2 2 +0
tex LEV,3 2 +1,2 1 +1,2 2 +0,5 1 +4,4 1 +3
kiNgg LEV,4 1 +3,5 1 +4,2 3 -1,4 0 +4,3 4 -1
C0M LEV,0 3 -3,0 3 -3,3 0 +3,4 0 +4,2 2 +0
