,BerserX BME,Famouz BME,NcSlasher BME,Shiro BME,dos9 BME
Estrella DRX,,,,,
free1ng DRX,,1 0 +1,1 0 +1,1 0 +1,1 0 +1
HYUNMIN DRX,,1 1 +0,1 0 +1,1 0 +1,
MaKo DRX,,0 1 -1,,,
BeYN DRX,,0 2 -2,1 0 +1,,
