,BerserX BME,Famouz BME,NcSlasher BME,Shiro BME,dos9 BME
Estrella DRX,2 4 -2,3 5 -2,3 0 +3,4 5 -1,2 1 +1
free1ng DRX,3 7 -4,6 1 +5,2 1 +1,3 3 +0,0 5 -5
HYUNMIN DRX,2 3 -1,3 3 +0,3 6 -3,3 2 +1,4 6 -2
MaKo DRX,1 6 -5,2 4 -2,2 3 -1,1 4 -3,0 2 -2
BeYN DRX,3 2 +1,2 7 -5,2 3 -1,2 1 +1,3 4 -1
