,BerserX BME,Famouz BME,NcSlasher BME,Shiro BME,dos9 BME
Estrella DRX,0 1 -1,2 1 +1,,,1 0 +1
free1ng DRX,0 1 -1,0 2 -2,,,1 1 +0
HYUNMIN DRX,,1 1 +0,1 0 +1,1 1 +0,
MaKo DRX,,2 1 +1,,0 2 -2,
BeYN DRX,1 0 +1,2 0 +2,0 1 -1,,2 0 +2
