,BerserX BME,Famouz BME,NcSlasher BME,Shiro BME,dos9 BME
Estrella DRX,11 8 +3,10 15 -5,8 7 +1,8 11 -3,9 6 +3
free1ng DRX,6 18 -12,12 12 +0,7 6 +1,6 7 -1,5 8 -3
HYUNMIN DRX,10 9 +1,12 7 +5,16 16 +0,19 10 +9,12 10 +2
MaKo DRX,5 10 -5,13 14 -1,7 8 -1,7 12 -5,1 8 -7
BeYN DRX,8 8 +0,5 12 -7,8 16 -8,7 9 -2,10 7 +3
