,BerserX BME,Famouz BME,NcSlasher BME,Shiro BME,dos9 BME
Estrella DRX,,0 1 -1,0 1 -1,0 2 -2,
free1ng DRX,,2 1 +1,1 0 +1,,1 0 +1
HYUNMIN DRX,,2 0 +2,1 1 +0,1 1 +0,
MaKo DRX,1 0 +1,1 1 +0,,0 1 -1,
BeYN DRX,,,0 1 -1,0 1 -1,
