,BerserX BME,Famouz BME,NcSlasher BME,Shiro BME,dos9 BME
Estrella DRX,3 1 +2,2 4 -2,2 3 -1,2 3 -1,3 2 +1
free1ng DRX,1 5 -4,5 3 +2,3 2 +1,2 3 -1,2 2 +0
HYUNMIN DRX,3 2 +1,4 1 +3,6 6 +0,7 3 +4,2 2 +0
MaKo DRX,1 2 -1,3 5 -2,1 2 -1,1 2 -1,0 4 -4
BeYN DRX,1 4 -3,1 2 -1,3 5 -2,3 2 +1,2 2 +0
