,BerserX BME,Famouz BME,NcSlasher BME,Shiro BME,dos9 BME
Estrella DRX,6 3 +3,5 6 -1,3 4 -1,2 3 -1,4 3 +1
free1ng DRX,2 6 -4,1 8 -7,2 3 -1,1 1 +0,3 1 +2
HYUNMIN DRX,5 4 +1,5 3 +2,7 4 +3,9 5 +4,6 2 +4
MaKo DRX,3 2 +1,8 5 +3,4 3 +1,5 6 -1,1 2 -1
BeYN DRX,4 2 +2,2 3 -1,3 8 -5,2 6 -4,5 1 +4
