,BerserX BME,Famouz BME,NcSlasher BME,Shiro BME,dos9 BME
Estrella DRX,0 1 -1,0 1 -1,,1 0 +1,
free1ng DRX,0 3 -3,,1 0 +1,,0 1 -1
HYUNMIN DRX,0 2 -2,0 1 -1,,1 1 +0,1 0 +1
MaKo DRX,,,,0 1 -1,0 1 -1
BeYN DRX,,1 2 -1,1 0 +1,,
