,Ethan NRG,mada NRG,skuba NRG,brawk NRG,s0m NRG
C0M LEV,,2 2 +0,,0 1 -1,1 1 +0
Okeanos LEV,,2 7 -5,3 2 +1,0 2 -2,2 1 +1
tex LEV,,2 6 -4,,,1 1 +0
kiNgg LEV,2 0 +2,1 3 -2,,,3 1 +2
Sato LEV,2 1 +1,7 5 +2,3 2 +1,1 0 +1,1 2 -1
