,Ethan NRG,mada NRG,skuba NRG,brawk NRG,s0m NRG
C0M LEV,,0 1 -1,,,1 1 +0
Okeanos LEV,,1 2 -1,1 2 -1,,
tex LEV,,1 2 -1,,,0 1 -1
kiNgg LEV,1 0 +1,0 1 -1,,,1 1 +0
Sato LEV,0 1 -1,2 1 +1,2 0 +2,,0 1 -1
