,Ethan NRG,mada NRG,skuba NRG,brawk NRG,s0m NRG
C0M LEV,,,,,
Okeanos LEV,,0 1 -1,,,
tex LEV,,0 1 -1,,,
kiNgg LEV,,0 2 -2,,,1 0 +1
Sato LEV,3 0 +3,1 0 +1,2 0 +2,1 0 +1,
