,Ethan NRG,mada NRG,skuba NRG,brawk NRG,s0m NRG
C0M LEV,6 8 -2,8 11 -3,6 10 -4,4 6 -2,6 7 -1
Okeanos LEV,7 7 +0,10 18 -8,11 12 -1,8 9 -1,5 6 -1
tex LEV,8 6 +2,9 12 -3,8 6 +2,8 11 -3,8 13 -5
kiNgg LEV,8 7 +1,6 16 -10,4 12 -8,6 7 -1,12 10 +2
Sato LEV,17 7 +10,15 12 +3,19 12 +7,11 6 +5,12 14 -2
