,Ethan NRG,mada NRG,skuba NRG,brawk NRG,s0m NRG
C0M LEV,2 1 +1,2 2 +0,3 4 -1,1 3 -2,2 3 -1
Okeanos LEV,3 2 +1,4 7 -3,3 6 -3,3 2 +1,2 3 -1
tex LEV,1 0 +1,2 7 -5,2 1 +1,4 4 +0,3 3 +0
kiNgg LEV,3 1 +2,2 5 -3,3 4 -1,2 4 -2,6 5 +1
Sato LEV,9 3 +6,9 4 +5,7 5 +2,6 3 +3,4 3 +1
