,Ethan NRG,mada NRG,skuba NRG,brawk NRG,s0m NRG
C0M LEV,,1 1 +0,,,
Okeanos LEV,,0 3 -3,1 0 +1,0 2 -2,
tex LEV,,0 4 -4,,,1 0 +1
kiNgg LEV,1 0 +1,0 1 -1,,,2 0 +2
Sato LEV,1 0 +1,3 2 +1,0 2 -2,1 0 +1,
