,Ethan NRG,mada NRG,skuba NRG,brawk NRG,s0m NRG
C0M LEV,,0 2 -2,,,
Okeanos LEV,,0 2 -2,,,
tex LEV,,1 2 -1,,,
kiNgg LEV,,0 3 -3,,,1 0 +1
Sato LEV,3 0 +3,1 2 -1,3 0 +3,1 0 +1,
