,Ethan NRG,mada NRG,skuba NRG,brawk NRG,s0m NRG
C0M LEV,2 4 -2,3 6 -3,1 3 -2,1 1 +0,3 3 +0
Okeanos LEV,3 3 +0,2 6 -4,4 4 +0,3 2 +1,1 0 +1
tex LEV,5 2 +3,3 4 -1,4 2 +2,3 3 +0,3 5 -2
kiNgg LEV,1 2 -1,3 6 -3,0 5 -5,3 1 +2,3 4 -1
Sato LEV,5 1 +4,3 4 -1,8 4 +4,4 1 +3,5 6 -1
