,Ethan NRG,mada NRG,skuba NRG,brawk NRG,s0m NRG
C0M LEV,2 3 -1,3 3 +0,2 3 -1,2 2 +0,1 1 +0
Okeanos LEV,1 2 -1,4 5 -1,4 2 +2,2 5 -3,2 3 -1
tex LEV,2 4 -2,4 1 +3,2 3 -1,1 4 -3,2 5 -3
kiNgg LEV,4 4 +0,1 5 -4,1 3 -2,1 2 -1,3 1 +2
Sato LEV,3 3 +0,3 4 -1,4 3 +1,1 2 -1,3 5 -2
