,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
C0M LEV,,,,,,1 Round 22 s0m,,,,,44,5,3
tex LEV,,1 Round 6 mada skuba,1 Round 21 s0m skuba brawk,,,1 Round 4 s0m,,,,,33,1,1
Okeanos LEV,,4 Round 15 skuba s0m Round 17 s0m brawk Round 18 skuba mada Round 24 mada brawk,1 Round 20 mada Ethan skuba,,,,1 Round 17 brawk s0m,,,,31,1,1
kiNgg LEV,,3 Round 10 skuba s0m Round 17 mada skuba Round 20 s0m brawk,,1 Round 7 mada Ethan skuba brawk,,,,,,,42,2,0
Sato LEV,,2 Round 4 skuba brawk Round 10 Ethan brawk,3 Round 1 mada skuba s0m Round 2 mada s0m skuba Round 9 mada skuba Ethan,4 Round 19 skuba brawk mada Ethan Round 22 brawk skuba Ethan mada Round 25 mada Ethan brawk s0m Round 26 brawk s0m mada skuba,,,,,,,78,0,0
brawk NRG,,2 Round 3 Sato tex Round 14 Okeanos tex,1 Round 13 Sato kiNgg tex,,,,,,,,50,3,1
s0m NRG,,4 Round 4 Okeanos Sato Round 14 Sato C0M Round 22 kiNgg Sato Round 25 tex kiNgg,1 Round 16 Okeanos kiNgg tex,,,,2 Round 19 Sato C0M Round 24 tex C0M,,,,42,3,3
mada NRG,,2 Round 7 tex Okeanos Round 12 tex Sato,3 Round 15 tex Okeanos kiNgg Round 19 tex Okeanos kiNgg Round 23 Sato C0M Okeanos,,,,,,,,62,0,1
skuba NRG,,2 Round 9 Okeanos C0M Round 13 Okeanos C0M,1 Round 21 Okeanos Sato kiNgg,,,,,,,,47,0,0
Ethan NRG,,,,,,,,,,,36,4,0
