,Jinggg PRX,PatMen PRX,f0rsakeN PRX,something PRX,d4v41 PRX
JitBoyS TLN,5 5 +0,7 7 +0,2 6 -4,2 9 -7,8 4 +4
Killua TLN,2 9 -7,4 6 -2,9 11 -2,7 7 +0,8 2 +6
Crws TLN,6 9 -3,0 7 -7,3 4 -1,4 9 -5,2 6 -4
primmie TLN,12 4 +8,9 6 +3,7 9 -2,3 10 -7,5 5 +0
thyy TLN,6 9 -3,7 4 +3,6 8 -2,8 7 +1,6 7 -1
