,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Crws TLN,,1 Round 13 Jinggg something,,,,,,,,,19,0,0
Killua TLN,,2 Round 4 f0rsakeN d4v41 Round 11 something d4v41,1 Round 18 something d4v41 Jinggg,,,,,,,,55,3,0
JitBoyS TLN,,2 Round 6 d4v41 Jinggg Round 13 d4v41 PatMen,,,,,,,,,42,0,0
primmie TLN,,1 Round 12 something Jinggg,2 Round 14 f0rsakeN Jinggg PatMen Round 19 something PatMen Jinggg,,,,,,,,50,1,0
thyy TLN,,1 Round 12 PatMen d4v41,1 Round 3 Jinggg f0rsakeN something,,,,,,,,53,0,0
Jinggg PRX,,3 Round 5 primmie thyy Round 9 primmie Killua Round 18 Crws thyy,1 Round 16 Crws thyy Killua,,,,,,,,56,0,0
f0rsakeN PRX,,8 Round 1 Killua primmie Round 5 JitBoyS Killua Round 6 JitBoyS primmie Round 8 JitBoyS Killua Round 10 Killua thyy Round 12 primmie Crws Round 15 Killua primmie Round 19 Killua primmie,,,,1 Round 19 primmie,,,,,94,0,1
d4v41 PRX,,3 Round 2 JitBoyS Crws Round 15 thyy Crws Round 19 Crws JitBoyS,1 Round 20 primmie thyy JitBoyS,,,,,,,,50,0,0
PatMen PRX,,3 Round 7 Killua primmie Round 9 thyy JitBoyS Round 10 primmie JitBoyS,,,,,,,,,62,3,0
something PRX,,3 Round 2 Killua primmie Round 8 Crws primmie Round 16 primmie JitBoyS,2 Round 6 Killua Crws thyy Round 17 JitBoyS Crws thyy,,,,,,,,46,0,0
