,Jinggg PRX,PatMen PRX,f0rsakeN PRX,something PRX,d4v41 PRX
JitBoyS TLN,3 4 -1,4 3 +1,1 2 -1,2 7 -5,5 1 +4
Killua TLN,1 6 -5,3 3 +0,6 4 +2,2 5 -3,2 2 +0
Crws TLN,4 5 -1,0 7 -7,3 1 +2,2 3 -1,1 2 -1
primmie TLN,7 2 +5,5 4 +1,6 3 +3,0 7 -7,4 3 +1
thyy TLN,2 3 -1,5 0 +5,2 7 -5,6 5 +1,2 3 -1
