,Jinggg PRX,PatMen PRX,f0rsakeN PRX,something PRX,d4v41 PRX
JitBoyS TLN,2 1 +1,3 4 -1,1 4 -3,0 2 -2,3 3 +0
Killua TLN,1 3 -2,1 3 -2,3 7 -4,5 2 +3,6 0 +6
Crws TLN,2 4 -2,,0 3 -3,2 6 -4,1 4 -3
primmie TLN,5 2 +3,4 2 +2,1 6 -5,3 3 +0,1 2 -1
thyy TLN,4 6 -2,2 4 -2,4 1 +3,2 2 +0,4 4 +0
