,Jinggg PRX,PatMen PRX,f0rsakeN PRX,something PRX,d4v41 PRX
JitBoyS TLN,,,,0 1 -1,0 1 -1
Killua TLN,,0 1 -1,1 1 +0,3 1 +2,
Crws TLN,1 0 +1,,0 1 -1,0 2 -2,1 1 +0
primmie TLN,0 1 -1,,,1 1 +0,
thyy TLN,1 0 +1,,,1 0 +1,
