,PatMen PRX,d4v41 PRX,Jinggg PRX,something PRX,f0rsakeN PRX
MiniBoo TH,2 2 +0,3 4 -1,2 7 -5,2 3 -1,3 2 +1
Wo0t TH,5 4 +1,3 3 +0,3 2 +1,3 1 +2,3 5 -2
Boo TH,1 5 -4,4 3 +1,1 3 -2,1 3 -2,0 3 -3
RieNs TH,2 3 -1,1 4 -3,4 4 +0,2 6 -4,3 1 +2
benjyfishy TH,4 6 -2,1 4 -3,3 4 -1,5 1 +4,5 1 +4
