,PatMen PRX,d4v41 PRX,Jinggg PRX,something PRX,f0rsakeN PRX
MiniBoo TH,1 1 +0,1 2 -1,2 2 +0,0 6 -6,0 2 -2
Wo0t TH,1 0 +1,2 4 -2,1 2 -1,1 2 -1,1 4 -3
Boo TH,1 4 -3,0 2 -2,1 3 -2,2 2 +0,1 1 +0
RieNs TH,0 1 -1,3 0 +3,2 4 -2,3 2 +1,0 5 -5
benjyfishy TH,1 4 -3,3 1 +2,0 1 -1,1 1 +0,1 6 -5
