,PatMen PRX,d4v41 PRX,Jinggg PRX,something PRX,f0rsakeN PRX
MiniBoo TH,3 3 +0,4 6 -2,4 9 -5,2 9 -7,3 4 -1
Wo0t TH,6 4 +2,5 7 -2,4 4 +0,4 3 +1,4 9 -5
Boo TH,2 9 -7,4 5 -1,2 6 -4,3 5 -2,1 4 -3
RieNs TH,2 4 -2,4 4 +0,6 8 -2,5 8 -3,3 6 -3
benjyfishy TH,5 10 -5,4 5 -1,3 5 -2,6 2 +4,6 7 -1
