,TenTen ZETA,SugarZ3ro ZETA,Dep ZETA,CLZ ZETA,Xdll ZETA
PatMen PRX,5 4 +1,3 4 -1,1 5 -4,5 2 +3,2 1 +1
d4v41 PRX,3 2 +1,2 4 -2,0 3 -3,1 4 -3,1 5 -4
something PRX,1 0 +1,2 6 -4,6 2 +4,4 3 +1,3 3 +0
Jinggg PRX,5 1 +4,8 0 +8,1 5 -4,2 5 -3,5 4 +1
f0rsakeN PRX,2 4 -2,1 4 -3,3 4 -1,2 3 -1,2 2 +0
