,TenTen ZETA,SugarZ3ro ZETA,Dep ZETA,CLZ ZETA,Xdll ZETA
PatMen PRX,1 1 +0,0 1 -1,,1 1 +0,1 1 +0
d4v41 PRX,4 1 +3,,0 1 -1,,0 1 -1
something PRX,1 0 +1,,,0 1 -1,0 1 -1
Jinggg PRX,2 0 +2,1 0 +1,1 0 +1,0 3 -3,0 1 -1
f0rsakeN PRX,2 4 -2,0 3 -3,2 5 -3,,1 0 +1
