,TenTen ZETA,SugarZ3ro ZETA,Dep ZETA,CLZ ZETA,Xdll ZETA
PatMen PRX,6 7 -1,5 9 -4,3 7 -4,9 6 +3,3 5 -2
d4v41 PRX,8 4 +4,5 5 +0,4 7 -3,4 10 -6,5 8 -3
something PRX,3 0 +3,3 13 -10,7 4 +3,7 8 -1,8 7 +1
Jinggg PRX,10 3 +7,14 2 +12,2 8 -6,3 11 -8,7 7 +0
f0rsakeN PRX,5 9 -4,4 12 -8,7 6 +1,2 4 -2,3 5 -2
