,TenTen ZETA,SugarZ3ro ZETA,Dep ZETA,CLZ ZETA,Xdll ZETA
PatMen PRX,1 3 -2,2 5 -3,2 2 +0,4 4 +0,1 4 -3
d4v41 PRX,5 2 +3,3 1 +2,4 4 +0,3 6 -3,4 3 +1
something PRX,2 0 +2,1 7 -6,1 2 -1,3 5 -2,5 4 +1
Jinggg PRX,5 2 +3,6 2 +4,1 3 -2,1 6 -5,2 3 -1
f0rsakeN PRX,3 5 -2,3 8 -5,4 2 +2,0 1 -1,1 3 -2
