,TenTen ZETA,SugarZ3ro ZETA,Dep ZETA,CLZ ZETA,Xdll ZETA
PatMen PRX,1 0 +1,,,1 1 +0,1 1 +0
d4v41 PRX,2 0 +2,,0 1 -1,,0 1 -1
something PRX,,,,,
Jinggg PRX,1 0 +1,1 0 +1,1 0 +1,0 1 -1,
f0rsakeN PRX,0 1 -1,0 1 -1,0 4 -4,,1 0 +1
