,Papi GE,yokam GE,kellyS GE,UdoTan GE,Kr1stal GE
NcSlasher BME,0 1 -1,1 0 +1,,,
BerserX BME,1 0 +1,1 2 -1,1 1 +0,0 1 -1,
Shiro BME,2 1 +1,0 1 -1,0 1 -1,0 2 -2,1 0 +1
dos9 BME,1 0 +1,4 0 +4,1 0 +1,1 0 +1,
Famouz BME,0 1 -1,4 0 +4,2 1 +1,2 2 +0,2 0 +2
