,Papi GE,yokam GE,kellyS GE,UdoTan GE,Kr1stal GE
NcSlasher BME,1 1 +0,2 0 +2,3 1 +2,3 1 +2,3 1 +2
BerserX BME,5 0 +5,3 1 +2,4 0 +4,3 1 +2,4 2 +2
Shiro BME,1 2 -1,1 4 -3,3 3 +0,1 2 -1,0 2 -2
dos9 BME,5 2 +3,4 0 +4,2 1 +1,2 2 +0,3 1 +2
Famouz BME,2 2 +0,4 1 +3,1 2 -1,4 1 +3,3 2 +1
