,Papi GE,yokam GE,kellyS GE,UdoTan GE,Kr1stal GE
NcSlasher BME,1 3 -2,4 3 +1,4 4 +0,4 4 +0,2 1 +1
BerserX BME,5 1 +4,4 1 +3,3 4 -1,4 6 -2,2 2 +0
Shiro BME,7 0 +7,1 1 +0,5 2 +3,2 7 -5,6 5 +1
dos9 BME,4 4 +0,5 1 +4,3 6 -3,5 5 +0,2 3 -1
Famouz BME,3 3 +0,6 2 +4,4 3 +1,3 6 -3,5 4 +1
