,Papi GE,yokam GE,kellyS GE,UdoTan GE,Kr1stal GE
NcSlasher BME,,,,,
BerserX BME,,1 1 +0,,,
Shiro BME,1 1 +0,0 1 -1,,0 1 -1,
dos9 BME,1 0 +1,2 0 +2,,,
Famouz BME,0 1 -1,1 0 +1,,1 0 +1,2 0 +2
