,Papi GE,yokam GE,kellyS GE,UdoTan GE,Kr1stal GE
NcSlasher BME,2 4 -2,6 3 +3,7 5 +2,7 5 +2,5 2 +3
BerserX BME,10 1 +9,7 2 +5,7 4 +3,7 7 +0,6 4 +2
Shiro BME,8 2 +6,2 5 -3,8 5 +3,3 9 -6,6 7 -1
dos9 BME,9 6 +3,9 1 +8,5 7 -2,7 7 +0,5 4 +1
Famouz BME,5 5 +0,10 3 +7,5 5 +0,7 7 +0,8 6 +2
