,leaf G2,trent G2,JonahP G2,jawgemo G2,valyn G2
Flashback DRX,4 0 +4,4 0 +4,,1 3 -2,3 0 +3
MaKo DRX,,0 1 -1,,0 3 -3,
free1ng DRX,0 1 -1,,,0 1 -1,
BeYN DRX,0 1 -1,,,0 2 -2,
HYUNMIN DRX,0 1 -1,,,0 3 -3,
