,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
free1ng DRX,,1 Round 1 JonahP trent,1 Round 4 leaf valyn trent,1 Round 12 jawgemo valyn leaf trent,,,,,,,58,0,0
MaKo DRX,,4 Round 1 valyn leaf Round 6 trent JonahP Round 10 jawgemo JonahP Round 18 valyn jawgemo,,1 Round 17 valyn JonahP trent leaf,,1 Round 1 leaf,,1 Round 17 trent JonahP leaf,,,52,1,1
BeYN DRX,,,,,,,,,,,23,6,0
HYUNMIN DRX,,2 Round 4 jawgemo JonahP Round 13 trent leaf,,,,,,,,,36,0,0
Flashback DRX,,2 Round 7 leaf jawgemo Round 10 valyn trent,1 Round 14 valyn trent jawgemo,,,,,,,,39,0,0
valyn G2,,3 Round 1 Flashback HYUNMIN Round 6 HYUNMIN MaKo Round 20 MaKo BeYN,,,,1 Round 6 MaKo,,,,,45,3,0
jawgemo G2,,1 Round 13 free1ng MaKo,7 Round 2 HYUNMIN free1ng BeYN Round 3 free1ng MaKo BeYN Round 11 BeYN HYUNMIN Flashback Round 15 free1ng Flashback HYUNMIN Round 16 BeYN MaKo Flashback Round 18 HYUNMIN BeYN Flashback Round 19 Flashback MaKo HYUNMIN,,,,,,,,80,1,0
JonahP G2,,1 Round 6 free1ng BeYN,2 Round 9 HYUNMIN Flashback free1ng Round 17 Flashback BeYN HYUNMIN,,,,,,,,67,4,1
leaf G2,,3 Round 1 BeYN free1ng Round 2 MaKo Flashback Round 8 MaKo Flashback,,,,,,,,,46,0,3
trent G2,,3 Round 7 free1ng BeYN Round 16 HYUNMIN free1ng Round 19 BeYN free1ng,1 Round 20 free1ng Flashback jawgemo,1 Round 5 Flashback HYUNMIN MaKo BeYN,,,,,,,61,1,0
