,leaf G2,trent G2,JonahP G2,jawgemo G2,valyn G2
Flashback DRX,7 4 +3,7 2 +5,3 4 -1,5 4 +1,0 2 -2
MaKo DRX,1 4 -3,2 4 -2,4 2 +2,5 3 +2,6 3 +3
free1ng DRX,3 2 +1,0 2 -2,0 5 -5,2 3 -1,1 2 -1
BeYN DRX,2 2 +0,0 6 -6,1 3 -2,3 3 +0,3 2 +1
HYUNMIN DRX,5 5 +0,7 2 +5,7 1 +6,5 1 +4,6 5 +1
