,leaf G2,trent G2,JonahP G2,jawgemo G2,valyn G2
Flashback DRX,3 0 +3,2 0 +2,,1 2 -1,2 0 +2
MaKo DRX,,,,0 2 -2,
free1ng DRX,,,,0 1 -1,
BeYN DRX,,,,0 2 -2,
HYUNMIN DRX,,,,,
