,leaf G2,trent G2,JonahP G2,jawgemo G2,valyn G2
Flashback DRX,13 9 +4,14 5 +9,6 6 +0,10 15 -5,7 7 +0
MaKo DRX,9 9 +0,8 9 -1,15 3 +12,11 11 +0,14 8 +6
free1ng DRX,11 5 +6,7 11 -4,4 8 -4,8 9 -1,5 7 -2
BeYN DRX,6 4 +2,4 13 -9,3 6 -3,9 12 -3,4 8 -4
HYUNMIN DRX,9 9 +0,10 5 +5,11 5 +6,9 10 -1,8 10 -2
