,leaf G2,trent G2,JonahP G2,jawgemo G2,valyn G2
Flashback DRX,5 1 +4,4 0 +4,2 0 +2,3 5 -2,4 3 +1
MaKo DRX,5 1 +4,3 3 +0,6 0 +6,2 4 -2,5 2 +3
free1ng DRX,2 2 +0,3 4 -1,3 1 +2,4 1 +3,2 3 -1
BeYN DRX,3 1 +2,3 4 -1,1 0 +1,4 3 +1,1 5 -4
HYUNMIN DRX,2 3 -1,2 1 +1,3 1 +2,2 2 +0,2 3 -1
