,leaf G2,trent G2,JonahP G2,jawgemo G2,valyn G2
Flashback DRX,3 0 +3,,1 0 +1,1 2 -1,0 1 -1
MaKo DRX,2 0 +2,1 0 +1,,,
free1ng DRX,,1 0 +1,2 0 +2,0 1 -1,
BeYN DRX,1 0 +1,,,0 1 -1,
HYUNMIN DRX,,1 0 +1,,0 1 -1,0 1 -1
