,leaf G2,trent G2,JonahP G2,jawgemo G2,valyn G2
Flashback DRX,4 1 +3,2 1 +1,2 0 +2,2 4 -2,1 2 -1
MaKo DRX,2 3 -1,1 0 +1,3 1 +2,2 2 +0,1 1 +0
free1ng DRX,0 1 -1,1 1 +0,3 0 +3,1 2 -1,0 1 -1
BeYN DRX,1 0 +1,,,2 3 -1,1 0 +1
HYUNMIN DRX,1 1 +0,1 0 +1,0 1 -1,2 4 -2,0 1 -1
