,leaf G2,trent G2,JonahP G2,jawgemo G2,valyn G2
Flashback DRX,1 1 +0,1 0 +1,1 0 +1,1 0 +1,
MaKo DRX,0 1 -1,,2 0 +2,1 2 -1,
free1ng DRX,0 1 -1,,,1 0 +1,0 1 -1
BeYN DRX,,,,2 1 +1,1 0 +1
HYUNMIN DRX,1 1 +0,,,2 1 +1,
