,leaf G2,trent G2,JonahP G2,jawgemo G2,valyn G2
Flashback DRX,,2 0 +2,,0 1 -1,1 0 +1
MaKo DRX,,0 1 -1,,0 1 -1,
free1ng DRX,,,,,
BeYN DRX,,,,,
HYUNMIN DRX,,,,0 3 -3,
