,Mazino KRÜ,Shyy KRÜ,Dantedeu5 KRÜ,keznit KRÜ,Melser KRÜ
C0M LEV,7 4 +3,6 9 -3,9 9 +0,10 10 +0,13 7 +6
tex LEV,6 14 -8,5 8 -3,7 8 -1,11 7 +4,7 11 -4
Sato LEV,9 10 -1,13 9 +4,11 11 +0,8 12 -4,12 8 +4
Okeanos LEV,10 12 -2,9 14 -5,10 9 +1,11 9 +2,5 4 +1
kiNgg LEV,12 11 +1,14 3 +11,10 5 +5,8 10 -2,7 7 +0
