,Mazino KRÜ,Shyy KRÜ,Dantedeu5 KRÜ,keznit KRÜ,Melser KRÜ
C0M LEV,5 1 +4,2 3 -1,3 3 +0,2 1 +1,4 3 +1
tex LEV,3 3 +0,2 2 +0,1 1 +0,6 3 +3,2 6 -4
Sato LEV,2 2 +0,5 3 +2,5 2 +3,3 2 +1,3 4 -1
Okeanos LEV,1 4 -3,4 6 -2,4 2 +2,1 2 -1,1 3 -2
kiNgg LEV,5 3 +2,5 0 +5,2 3 -1,4 2 +2,3 1 +2
