,Mazino KRÜ,Shyy KRÜ,Dantedeu5 KRÜ,keznit KRÜ,Melser KRÜ
C0M LEV,,0 1 -1,1 1 +0,,
tex LEV,1 0 +1,1 1 +0,,2 0 +2,1 0 +1
Sato LEV,,0 2 -2,1 1 +0,1 1 +0,
Okeanos LEV,0 1 -1,,,,
kiNgg LEV,0 1 -1,,1 0 +1,2 0 +2,1 0 +1
