,Mazino KRÜ,Shyy KRÜ,Dantedeu5 KRÜ,keznit KRÜ,Melser KRÜ
C0M LEV,0 1 -1,1 3 -2,2 3 -1,2 5 -3,4 2 +2
tex LEV,2 2 +0,1 3 -2,4 3 +1,2 2 +0,3 4 -1
Sato LEV,3 5 -2,3 1 +2,1 3 -2,2 6 -4,2 1 +1
Okeanos LEV,4 4 +0,3 5 -2,1 2 -1,5 4 +1,2 1 +1
kiNgg LEV,3 4 -1,5 2 +3,6 0 +6,1 4 -3,1 4 -3
