,eeiu 100T,Cryocells 100T,bang 100T,Boostio 100T,Asuna 100T
mwzera FUR,,1 2 -1,0 1 -1,0 1 -1,4 0 +4
nzr FUR,,,0 2 -2,,1 0 +1
havoc FUR,,1 1 +0,0 2 -2,,
xand FUR,,1 0 +1,1 0 +1,1 1 +0,
Khalil FUR,,1 0 +1,2 1 +1,1 0 +1,0 1 -1
