,eeiu 100T,Cryocells 100T,bang 100T,Boostio 100T,Asuna 100T
mwzera FUR,3 0 +3,3 3 +0,,2 0 +2,3 1 +2
nzr FUR,,,,,
havoc FUR,,0 3 -3,,,
xand FUR,,0 2 -2,,,
Khalil FUR,,0 1 -1,,,
