,eeiu 100T,Cryocells 100T,bang 100T,Boostio 100T,Asuna 100T
mwzera FUR,5 5 +0,4 5 -1,3 4 -1,2 5 -3,4 3 +1
nzr FUR,5 6 -1,3 2 +1,4 3 +1,6 1 +5,5 4 +1
havoc FUR,4 3 +1,6 7 -1,1 5 -4,4 4 +0,6 2 +4
xand FUR,1 3 -2,7 5 +2,3 2 +1,3 4 -1,2 4 -2
Khalil FUR,3 2 +1,1 4 -3,8 3 +5,7 3 +4,3 3 +0
