,eeiu 100T,Cryocells 100T,bang 100T,Boostio 100T,Asuna 100T
mwzera FUR,8 11 -3,12 13 -1,6 8 -2,6 7 -1,7 10 -3
nzr FUR,9 8 +1,8 6 +2,9 8 +1,11 5 +6,10 8 +2
havoc FUR,6 6 +0,11 9 +2,3 11 -8,10 10 +0,9 4 +5
xand FUR,4 8 -4,11 9 +2,6 5 +1,4 10 -6,5 8 -3
Khalil FUR,10 3 +7,5 9 -4,16 5 +11,12 6 +6,10 9 +1
