,eeiu 100T,Cryocells 100T,bang 100T,Boostio 100T,Asuna 100T
mwzera FUR,3 6 -3,8 8 +0,3 4 -1,4 2 +2,3 7 -4
nzr FUR,4 2 +2,5 4 +1,5 5 +0,5 4 +1,5 4 +1
havoc FUR,2 3 -1,5 2 +3,2 6 -4,6 6 +0,3 2 +1
xand FUR,3 5 -2,4 4 +0,3 3 +0,1 6 -5,3 4 -1
Khalil FUR,7 1 +6,4 5 -1,8 2 +6,5 3 +2,7 6 +1
