,eeiu 100T,Cryocells 100T,bang 100T,Boostio 100T,Asuna 100T
mwzera FUR,,1 1 +0,,,
nzr FUR,,,,,
havoc FUR,,0 1 -1,,,
xand FUR,,0 1 -1,,,
Khalil FUR,,,,,
