,eeiu 100T,Cryocells 100T,bang 100T,Boostio 100T,Asuna 100T
mwzera FUR,1 0 +1,2 3 -1,2 1 +1,1 0 +1,0 2 -2
nzr FUR,,0 1 -1,1 0 +1,,
havoc FUR,,,0 2 -2,0 1 -1,1 0 +1
xand FUR,0 2 -2,0 2 -2,0 1 -1,,1 2 -1
Khalil FUR,,0 2 -2,,1 0 +1,0 1 -1
