,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
stax T1,,1 Round 15 primmie thyy,1 Round 7 thyy Crws Killua,,,,,,,,39,2,1
BuZz T1,,3 Round 4 JitBoyS Crws Round 7 primmie JitBoyS Round 8 thyy primmie,,,,,,,,,58,1,0
Sylvan T1,,,1 Round 2 thyy JitBoyS Killua,,,,,,,,37,1,0
Meteor T1,,2 Round 1 JitBoyS thyy Round 8 JitBoyS Crws,1 Round 10 JitBoyS Killua Crws,,,,,,,,47,0,2
iZu T1,,4 Round 1 Killua Crws Round 5 JitBoyS primmie Round 14 primmie Killua Round 16 primmie Killua,,,,,,,,,44,1,2
Crws TLN,,3 Round 6 Sylvan iZu Round 16 stax BuZz Round 17 Sylvan iZu,1 Round 19 BuZz Sylvan iZu,,,,,,,,76,2,3
Killua TLN,,2 Round 3 iZu stax Round 13 Sylvan Meteor,1 Round 15 Sylvan stax Meteor,,,,1 Round 15 stax Meteor,,,,54,7,1
JitBoyS TLN,,3 Round 9 BuZz iZu Round 11 Meteor Sylvan Round 16 Sylvan iZu,1 Round 18 iZu Sylvan stax,,,,,,,,52,0,0
primmie TLN,,2 Round 9 stax Meteor Round 18 BuZz Meteor,1 Round 17 BuZz Meteor stax,,,,,,,,81,1,0
thyy TLN,,3 Round 12 Sylvan Meteor Round 14 Sylvan BuZz Round 15 BuZz iZu,1 Round 5 BuZz stax iZu,,,,,,,,76,1,1
