,Urango FUR,heat FUR,tuyz FUR,adverso FUR,Palla FUR
lz 2G,,,0 1 -1,,
silentzz 2G,1 0 +1,,2 0 +2,0 1 -1,1 0 +1
spike 2G,,1 0 +1,1 0 +1,0 1 -1,1 0 +1
pryze 2G,,,,,3 1 +2
gobera 2G,1 0 +1,1 0 +1,,,
