,Urango FUR,heat FUR,tuyz FUR,adverso FUR,Palla FUR
lz 2G,5 5 +0,9 7 +2,3 11 -8,8 8 +0,4 9 -5
silentzz 2G,15 6 +9,11 4 +7,9 6 +3,10 7 +3,8 6 +2
spike 2G,10 8 +2,5 8 -3,12 6 +6,8 14 -6,14 10 +4
pryze 2G,8 12 -4,5 7 -2,10 4 +6,10 6 +4,15 8 +7
gobera 2G,7 4 +3,15 12 +3,7 4 +3,14 5 +9,10 8 +2
